Server Started


Total Message Transfer Run Time: 4.8104941844940186 seconds
         196267 function calls (191236 primitive calls) in 66.997 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _base.py:313(Future)
        1    0.000    0.000    0.009    0.009 _base.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _base.py:44(Error)
        1    0.000    0.000    0.000    0.000 _base.py:48(CancelledError)
        1    0.000    0.000    0.000    0.000 _base.py:52(TimeoutError)
        1    0.000    0.000    0.000    0.000 _base.py:547(Executor)
        1    0.000    0.000    0.000    0.000 _base.py:56(InvalidStateError)
        1    0.000    0.000    0.000    0.000 _base.py:60(_Waiter)
        1    0.000    0.000    0.000    0.000 _base.py:640(BrokenExecutor)
        1    0.000    0.000    0.000    0.000 _base.py:75(_AsCompletedWaiter)
        1    0.000    0.000    0.000    0.000 _base.py:97(_FirstCompletedWaiter)
        1    0.000    0.000    0.000    0.000 _bootlocale.py:33(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:148(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:252(__subclasshook__)
        8    0.000    0.000    0.000    0.000 _collections_abc.py:302(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:349(__subclasshook__)
       14    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
        8    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
        2    0.000    0.000    0.000    0.000 _common.py:101(fully_qualified_method)
      652    0.001    0.000   66.778    0.102 _common.py:105(_wait_once)
        1    0.002    0.002   66.780   66.780 _common.py:111(wait)
        1    0.000    0.000    0.000    0.000 _common.py:14(<module>)
        1    0.000    0.000    0.000    0.000 _common.py:152(validate_port_binding_result)
        1    0.000    0.000    0.000    0.000 _common.py:57(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _common.py:68(encode)
        1    0.000    0.000    0.000    0.000 _compat.py:25(with_metaclass)
        1    0.000    0.000    0.000    0.000 _compat.py:33(metaclass)
        1    0.000    0.000    0.000    0.000 _compat.py:34(__new__)
        1    0.000    0.000    0.000    0.000 _compat.py:4(<module>)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:15(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 _compression.py:37(create_channel_option)
        1    0.000    0.000    0.000    0.000 _compression.py:9(BaseStream)
        1    0.000    0.000    0.000    0.000 _grpcio_metadata.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _interceptor.py:14(<module>)
        1    0.000    0.000    0.000    0.000 _interceptor.py:150(_UnaryOutcome)
        1    0.000    0.000    0.000    0.000 _interceptor.py:202(_UnaryUnaryMultiCallable)
        1    0.000    0.000    0.000    0.000 _interceptor.py:22(_ServicePipeline)
        1    0.000    0.000    0.000    0.000 _interceptor.py:304(_UnaryStreamMultiCallable)
        1    0.000    0.000    0.000    0.000 _interceptor.py:341(_StreamUnaryMultiCallable)
        1    0.000    0.000    0.000    0.000 _interceptor.py:42(service_pipeline)
        1    0.000    0.000    0.000    0.000 _interceptor.py:443(_StreamStreamMultiCallable)
        1    0.000    0.000    0.000    0.000 _interceptor.py:46(_ClientCallDetails)
        1    0.000    0.000    0.000    0.000 _interceptor.py:480(_Channel)
        1    0.000    0.000    0.000    0.000 _interceptor.py:88(_FailureOutcome)
        1    0.000    0.000    0.000    0.000 _osx_support.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _osx_support.py:128(_supports_universal_builds)
        3    0.000    0.000    0.000    0.000 _osx_support.py:138(<genexpr>)
